activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
Bids & Contracts,completed,0,10,10,10,7,0,60.0,0.0
Interior Trim,completed,0,20,20,20,15,0,50.0,0.0
Grading & Building Permits,completed,10,20,10,10,7,0,70.0,0.0
Site Work,not_started,20,26,6,7,5,1,30.0,30.0
Floor Finishes,not_started,20,50,30,30,25,0,130.0,0.0
Foundation,not_started,26,48,22,22,18,0,80.0,0.0
Rough Carpentry,not_started,48,78,30,30,25,0,90.0,0.0
Electric Rough-in,not_started,78,97,19,19,14,0,55.0,0.0
Exterior Finishes,not_started,78,108,30,30,20,0,180.0,0.0
Roofing,not_started,108,138,30,30,25,0,200.0,0.0
Concrete Slabs,not_started,137,145,8,8,6,0,40.0,0.0
Insulation,not_started,138,142,4,5,4,1,30.0,30.0
Drywall,not_started,142,162,20,20,15,0,80.0,0.0
H.V.A.C.,not_started,145,162,17,17,12,0,55.0,0.0
Paint,not_started,162,192,30,30,25,0,110.0,0.0
Plumbing Rough-in,not_started,162,192,30,30,25,0,65.0,0.0
Plumbing Trim,not_started,192,197,5,5,3,0,40.0,0.0
Hardware,not_started,192,204,12,12,8,0,40.0,0.0
Electrical Final Trim,not_started,197,220,23,23,18,0,250.0,0.0
Final Building Inspection,not_started,220,221,1,1,1,0,20.0,0.0
Use & Occupancy Certificate,not_started,221,222,1,1,1,0,10.0,0.0
First Walk-thru,not_started,222,223,1,1,1,0,10.0,0.0
Final Punch-out,not_started,223,229,6,9,6,3,30.0,90.0
Cleaning,not_started,229,243,14,14,10,0,40.0,0.0
Final Walk-through,not_started,243,244,1,1,1,0,0.0,0.0
